"genus","species","sample_start_date","sample_end_date","sample_value","sample_unit","sample_sex","sample_stage","sample_location","sample_lat_dd","sample_long_dd","sample_name","species_id_method","location_description"
"Culex","pipiens",2023-10-15,2023-10-21,7,"pool size","female","adult","Roccabianca",45,10.216667,"WN016A_16355","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,25,"pool size","female","adult","Polesine Zibello",45.016667,10.083333,"WN015A_16354","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,7,"pool size","female","adult","Poggio Renatico",44.766667,11.5,"WN064A_16347","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,8,"pool size","female","adult","Brescello",44.9,10.516667,"WN038A_16340","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,26,"pool size","female","adult","San Pietro In Casale",44.7,11.4,"BONORD14_16328","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,16,"pool size","female","adult","Anzola Emilia",44.547222,11.195556,"BONORD09_16327","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,24,"pool size","female","adult","Sala Bolognese",44.616667,11.25,"BONORD07_16326","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,30,"pool size","female","adult","Cadeo",44.966667,9.833333,"WN013A_16322","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,10,"pool size","female","adult","Calendasco",45.083333,9.6,"WN003A_16318","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,15,"pool size","female","adult","Roccabianca",45,10.216667,"WN016A_16293","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,20,"pool size","female","adult","Polesine Zibello",45.016667,10.083333,"WN015A_16292","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,19,"pool size","female","adult","Poggio Renatico",44.766667,11.5,"WN064A_16281","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,46,"pool size","female","adult","Brescello",44.9,10.516667,"WN038A_16274","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,4,"pool size","female","adult","San Pietro In Casale",44.7,11.4,"BONORD14_16263","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,21,"pool size","female","adult","Anzola Emilia",44.547222,11.195556,"BONORD09_16262","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,91,"pool size","female","adult","Sala Bolognese",44.616667,11.25,"BONORD07_16261","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,58,"pool size","female","adult","Cadeo",44.966667,9.833333,"WN013A_16257","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,42,"pool size","female","adult","Calendasco",45.083333,9.6,"WN003A_16253","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,11,"pool size","female","adult","Roccabianca",45,10.216667,"WN016A_16228","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,80,"pool size","female","adult","Polesine Zibello",45.016667,10.083333,"WN015A_16227","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,205,"pool size","female","adult","San Pietro In Casale",44.7,11.4,"BONORD14_15541","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","San Pietro In Casale",44.7,11.4,"BONORD14_15540","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","San Pietro In Casale",44.7,11.4,"BONORD14_15539","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","San Pietro In Casale",44.7,11.4,"BONORD14_15538","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","San Pietro In Casale",44.7,11.4,"BONORD14_15537","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","San Pietro In Casale",44.7,11.4,"BONORD14_15536","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","San Pietro In Casale",44.7,11.4,"BONORD14_15535","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","San Pietro In Casale",44.7,11.4,"BONORD14_15534","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","San Pietro In Casale",44.7,11.4,"BONORD14_15533","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","San Pietro In Casale",44.7,11.4,"BONORD14_15532","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","San Pietro In Casale",44.7,11.4,"BONORD14_15531","morphological","Emilia-Romagna"
