"genus","species","sample_start_date","sample_end_date","sample_value","sample_unit","sample_sex","sample_stage","sample_location","sample_lat_dd","sample_long_dd","sample_name","species_id_method","location_description"
"Culex","pipiens",2023-10-15,2023-10-21,13,"pool size","female","adult","Comacchio",44.7,12.183333,"COMA10_16367","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,18,"pool size","female","adult","Molinella",44.616667,11.666667,"WN097B_16361","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,3,"pool size","female","adult","Comacchio",44.7,12.183333,"COMA02_16330","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,15,"pool size","female","adult","Piacenza",45.047778,9.700556,"WN004A_16319","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,2,"pool size","female","adult","Comacchio",44.7,12.183333,"COMA10_16306","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,46,"pool size","female","adult","Molinella",44.616667,11.666667,"WN097B_16299","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,25,"pool size","female","adult","Piacenza",45.047778,9.700556,"WN004A_16254","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,38,"pool size","female","adult","Comacchio",44.7,12.183333,"COMA10_16234","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,17,"pool size","female","adult","Molinella",44.616667,11.666667,"WN097B_16224","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,81,"pool size","female","adult","Comacchio",44.7,12.183333,"COMA02_15560","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Comacchio",44.7,12.183333,"COMA02_15559","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,184,"pool size","female","adult","Piacenza",45.047778,9.700556,"WN004A_15471","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Piacenza",45.047778,9.700556,"WN004A_15470","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Piacenza",45.047778,9.700556,"WN004A_15469","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Piacenza",45.047778,9.700556,"WN004A_15468","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Piacenza",45.047778,9.700556,"WN004A_15467","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Piacenza",45.047778,9.700556,"WN004A_15466","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Piacenza",45.047778,9.700556,"WN004A_15465","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Piacenza",45.047778,9.700556,"WN004A_15464","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Piacenza",45.047778,9.700556,"WN004A_15463","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Piacenza",45.047778,9.700556,"WN004A_15462","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-10,2023-09-16,51,"pool size","female","adult","Piacenza",45.047778,9.700556,"WN004A_16196","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-03,2023-09-09,90,"pool size","female","adult","Molinella",44.616667,11.666667,"WN097B_16160","morphological","Emilia-Romagna"
"Culex","pipiens",2023-08-27,2023-09-02,41,"pool size","female","adult","Piacenza",45.047778,9.700556,"WN004A_16124","morphological","Emilia-Romagna"
"Culex","pipiens",2023-08-20,2023-08-26,31,"pool size","female","adult","Comacchio",44.7,12.183333,"COMA10_16117","morphological","Emilia-Romagna"
"Culex","pipiens",2023-08-20,2023-08-26,87,"pool size","female","adult","Molinella",44.616667,11.666667,"WN097B_16110","morphological","Emilia-Romagna"
"Culex","pipiens",2023-08-13,2023-08-19,1,"pool size","female","adult","Comacchio",44.7,12.183333,"COMA02_16075","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-09,2023-07-15,88,"pool size","female","adult","Comacchio",44.7,12.183333,"COMA10_15770","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-09,2023-07-15,200,"pool size","female","adult","Comacchio",44.7,12.183333,"COMA10_15769","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-09,2023-07-15,200,"pool size","female","adult","Comacchio",44.7,12.183333,"COMA10_15768","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-09,2023-07-15,200,"pool size","female","adult","Comacchio",44.7,12.183333,"COMA10_15767","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-09,2023-07-15,200,"pool size","female","adult","Comacchio",44.7,12.183333,"COMA10_15766","morphological","Emilia-Romagna"
