"genus","species","sample_start_date","sample_end_date","sample_value","sample_unit","sample_sex","sample_stage","sample_location","sample_lat_dd","sample_long_dd","sample_name","species_id_method","location_description"
"Culex","pipiens",2023-10-15,2023-10-21,3,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_16382","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,14,"pool size","female","adult","Novi Di Modena",44.883333,10.9,"WN041A_16373","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,30,"pool size","female","adult","Sissa Trecasali",44.9602,10.2616,"WN036A_16358","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,32,"pool size","female","adult","Soragna",44.933333,10.116667,"WN035A_16357","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,22,"pool size","female","adult","Gattatico",44.8,10.466667,"WN056A_16343","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,17,"pool size","female","adult","Novellara",44.85,10.733333,"WN039A_16341","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,5,"pool size","female","adult","Goro",44.85,12.3,"WN052A_16338","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,4,"pool size","female","adult","Jolanda Di Savoia",44.883333,11.983333,"WN049A_16336","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,8,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_16317","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,12,"pool size","female","adult","Sissa Trecasali",44.9602,10.2616,"WN036A_16296","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,26,"pool size","female","adult","Soragna",44.933333,10.116667,"WN035A_16295","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,4,"pool size","female","adult","Novi Di Modena",44.883333,10.9,"WN041A_16289","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,49,"pool size","female","adult","Gattatico",44.8,10.466667,"WN056A_16277","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,20,"pool size","female","adult","Novellara",44.85,10.733333,"WN039A_16275","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,1,"pool size","female","adult","Goro",44.85,12.3,"WN052A_16272","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,6,"pool size","female","adult","Jolanda Di Savoia",44.883333,11.983333,"WN049A_16270","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,14,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_16252","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,27,"pool size","female","adult","Novi Di Modena",44.883333,10.9,"WN041A_16240","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,31,"pool size","female","adult","Sissa Trecasali",44.9602,10.2616,"WN036A_16231","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-17,2023-09-23,72,"pool size","female","adult","Soragna",44.933333,10.116667,"WN035A_16230","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Goro",44.85,12.3,"WN052A_15608","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,95,"pool size","female","adult","Jolanda Di Savoia",44.883333,11.983333,"WN049A_15596","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Jolanda Di Savoia",44.883333,11.983333,"WN049A_15595","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Jolanda Di Savoia",44.883333,11.983333,"WN049A_15594","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Jolanda Di Savoia",44.883333,11.983333,"WN049A_15593","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Jolanda Di Savoia",44.883333,11.983333,"WN049A_15592","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-02,2023-07-08,200,"pool size","female","adult","Jolanda Di Savoia",44.883333,11.983333,"WN049A_15591","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,34,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15459","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15458","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15457","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15456","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15455","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15454","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15453","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15452","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15451","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15450","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15449","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15448","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15447","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15446","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15445","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15444","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15443","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15442","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15441","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15440","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15439","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15438","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15437","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15436","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15435","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15434","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15433","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15432","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15431","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15430","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15429","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15428","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15427","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15426","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15425","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15424","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15423","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15422","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15421","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15420","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15419","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15418","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_15417","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,177,"pool size","female","adult","Sissa Trecasali",44.9602,10.2616,"WN036A_15331","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Sissa Trecasali",44.9602,10.2616,"WN036A_15330","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Sissa Trecasali",44.9602,10.2616,"WN036A_15329","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,190,"pool size","female","adult","Soragna",44.933333,10.116667,"WN035A_15328","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Soragna",44.933333,10.116667,"WN035A_15327","morphological","Emilia-Romagna"
"Culex","pipiens",2023-06-25,2023-07-01,200,"pool size","female","adult","Soragna",44.933333,10.116667,"WN035A_15326","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-10,2023-09-16,20,"pool size","female","adult","Gattatico",44.8,10.466667,"WN056A_16213","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-10,2023-09-16,20,"pool size","female","adult","Novellara",44.85,10.733333,"WN039A_16211","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-10,2023-09-16,6,"pool size","female","adult","Goro",44.85,12.3,"WN052A_16208","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-10,2023-09-16,4,"pool size","female","adult","Jolanda Di Savoia",44.883333,11.983333,"WN049A_16206","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-03,2023-09-09,18,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_16185","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-03,2023-09-09,12,"pool size","female","adult","Sissa Trecasali",44.9602,10.2616,"WN036A_16173","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-03,2023-09-09,22,"pool size","female","adult","Soragna",44.933333,10.116667,"WN035A_16172","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-03,2023-09-09,21,"pool size","female","adult","Novi Di Modena",44.883333,10.9,"WN041A_16163","morphological","Emilia-Romagna"
"Culex","pipiens",2023-08-27,2023-09-02,82,"pool size","female","adult","Gattatico",44.8,10.466667,"WN056A_16146","morphological","Emilia-Romagna"
"Culex","pipiens",2023-08-27,2023-09-02,24,"pool size","female","adult","Novellara",44.85,10.733333,"WN039A_16144","morphological","Emilia-Romagna"
"Culex","pipiens",2023-08-27,2023-09-02,3,"pool size","female","adult","Goro",44.85,12.3,"WN052A_16141","morphological","Emilia-Romagna"
"Culex","pipiens",2023-08-27,2023-09-02,26,"pool size","female","adult","Jolanda Di Savoia",44.883333,11.983333,"WN049A_16139","morphological","Emilia-Romagna"
"Culex","pipiens",2023-08-20,2023-08-26,31,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_16116","morphological","Emilia-Romagna"
"Culex","pipiens",2023-08-20,2023-08-26,24,"pool size","female","adult","Novi Di Modena",44.883333,10.9,"WN041A_16096","morphological","Emilia-Romagna"
"Culex","pipiens",2023-08-20,2023-08-26,75,"pool size","female","adult","Sissa Trecasali",44.9602,10.2616,"WN036A_16095","morphological","Emilia-Romagna"
"Culex","pipiens",2023-08-20,2023-08-26,36,"pool size","female","adult","Soragna",44.933333,10.116667,"WN035A_16094","morphological","Emilia-Romagna"
"Culex","pipiens",2023-08-20,2023-08-26,200,"pool size","female","adult","Soragna",44.933333,10.116667,"WN035A_16093","morphological","Emilia-Romagna"
"Culex","pipiens",2023-08-13,2023-08-19,1,"pool size","female","adult","Goro",44.85,12.3,"WN052A_16083","morphological","Emilia-Romagna"
"Culex","pipiens",2023-08-13,2023-08-19,32,"pool size","female","adult","Jolanda Di Savoia",44.883333,11.983333,"WN049A_16081","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-09,2023-07-15,182,"pool size","female","adult","Novi Di Modena",44.883333,10.9,"WN041A_15791","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-09,2023-07-15,200,"pool size","female","adult","Novi Di Modena",44.883333,10.9,"WN041A_15790","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-09,2023-07-15,145,"pool size","female","adult","Sissa Trecasali",44.9602,10.2616,"WN036A_15747","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-09,2023-07-15,200,"pool size","female","adult","Sissa Trecasali",44.9602,10.2616,"WN036A_15746","morphological","Emilia-Romagna"
"Culex","pipiens",2023-07-09,2023-07-15,110,"pool size","female","adult","Soragna",44.933333,10.116667,"WN035A_15745","morphological","Emilia-Romagna"
